from,to,reason,strength,confidence,divergence,status
johannes-brahms-1833,edward-macdowell-1860,"Brahms' structural rigor and Romantic idiom influenced MacDowell's compositional approach, especially in chamber music.",0.70,0.90,0.40,pending
edouard-lalo-1823,edward-macdowell-1860,"Lalo's orchestration and melodic style had an impact on MacDowell's orchestral works.",0.50,0.80,0.50,pending
camille-saint-saens-1835,edward-macdowell-1860,"Saint-Saëns' clarity and elegance in orchestration influenced MacDowell's orchestral writing.",0.50,0.80,0.50,pending
pyotr-ilyich-tchaikovsky-1840,edward-macdowell-1860,"Tchaikovsky's melodic richness and emotional depth influenced MacDowell's Romantic style.",0.60,0.85,0.40,pending
edvard-grieg-1843,edward-macdowell-1860,"Grieg's use of folk elements and lyrical melodies inspired MacDowell's incorporation of American folk idioms.",0.70,0.90,0.40,pending
richard-wagner-1813,gustav-mahler-1860,"Mahler was deeply influenced by Wagner's harmonic language and orchestration, and he conducted Wagner's operas extensively.",0.90,1.00,0.30,pending
anton-bruckner-1824,gustav-mahler-1860,"Bruckner's symphonic structure and spiritual depth had a significant impact on Mahler's symphonic writing.",0.80,1.00,0.40,pending
johannes-brahms-1833,gustav-mahler-1860,"Mahler admired Brahms' mastery of form and thematic development, which influenced his own symphonic approach.",0.70,0.90,0.50,pending
franz-schubert-1797,gustav-mahler-1860,"Mahler was inspired by Schubert's lieder and melodic expressiveness, which shaped his own song compositions and symphonic lyricism.",0.70,0.90,0.40,pending
franz-liszt-1811,gustav-mahler-1860,"Liszt's innovations in orchestration and programmatic music influenced Mahler's symphonic storytelling and orchestral color.",0.60,0.80,0.50,pending
giuseppe-verdi-1813,gustav-mahler-1860,"Mahler was influenced by Verdi's dramatic intensity and vocal writing, especially in his own vocal and operatic works.",0.50,0.70,0.60,pending
franz-liszt-1811,isaac-albeniz-1860,"Liszt's virtuosic piano style and harmonic innovations influenced Albéniz's piano compositions and his approach to Spanish nationalism in music.",0.80,0.90,0.40,pending
felix-mendelssohn-1809,isaac-albeniz-1860,"Mendelssohn's lyrical and formal clarity impacted Albéniz's compositional style, especially in his early works.",0.50,0.70,0.50,pending
franz-schubert-1797,isaac-albeniz-1860,"Schubert's melodic expressiveness and harmonic language influenced Albéniz's romantic piano pieces.",0.60,0.80,0.50,pending
claude-debussy-1862,isaac-albeniz-1860,"Debussy and Albéniz shared impressionistic harmonic language and exploration of color, with Debussy influencing Albéniz's later harmonic experimentation.",0.70,0.80,0.60,pending
manuel-de-falla-1876,isaac-albeniz-1860,"Though younger, De Falla was influenced by Albéniz's incorporation of Spanish folk elements and piano idioms, showing Albéniz's role in shaping Spanish musical nationalism.",0.40,0.70,0.70,pending
giuseppe-verdi-1813,isaac-albeniz-1860,"Verdi's dramatic sense and melodic style influenced Albéniz's operatic and dramatic compositions.",0.50,0.70,0.60,pending
richard-wagner-1813,isaac-albeniz-1860,"Wagner's harmonic innovations and use of leitmotifs had an indirect influence on Albéniz's harmonic language and thematic development.",0.50,0.60,0.70,pending
richard-wagner-1813,claude-debussy-1862,"Debussy was influenced by Wagner's harmonic innovations and orchestration, though he later sought to diverge from Wagnerian dramatic style.",0.80,0.90,0.70,pending
franz-schubert-1797,claude-debussy-1862,"Debussy admired Schubert's lyricism and melodic expressiveness, which influenced his approach to melody and song.",0.50,0.70,0.50,pending
franz-liszt-1811,claude-debussy-1862,"Liszt's use of chromaticism and innovative piano techniques influenced Debussy's harmonic language and piano writing.",0.60,0.80,0.60,pending
gabriel-faure-1845,claude-debussy-1862,"Faure's refined harmonic palette and subtlety in expression had a direct influence on Debussy's early compositional style.",0.70,0.85,0.40,pending
erik-satie-1866,claude-debussy-1862,"Satie's minimalist and avant-garde ideas influenced Debussy's exploration of new harmonic and structural possibilities.",0.40,0.70,0.60,pending
richard-wagner-1813,frederick-delius-1862,"Delius was influenced by Wagner's harmonic language and orchestration, which shaped his own lush and chromatic style.",0.80,0.90,0.50,pending
claude-debussy-1862,frederick-delius-1862,"Debussy's impressionistic textures and modal harmonies influenced Delius's atmospheric and coloristic approach to composition.",0.70,0.85,0.60,pending
edvard-grieg-1843,frederick-delius-1862,"Grieg's use of folk elements and lyrical melodies had an impact on Delius's melodic style and pastoral themes.",0.60,0.80,0.50,pending
johannes-brahms-1833,frederick-delius-1862,"Brahms's structural rigor and romantic expressiveness influenced Delius's early compositional development.",0.50,0.75,0.60,pending
gabriel-faure-1845,frederick-delius-1862,"Faure's refined harmonic language and melodic elegance influenced Delius's approach to lyricism and harmony.",0.60,0.70,0.50,pending
giuseppe-verdi-1813,pietro-mascagni-1863,"Mascagni was heavily influenced by Verdi's Italian operatic tradition, especially in his melodic style and dramatic expression.",0.90,0.95,0.30,pending
richard-wagner-1813,pietro-mascagni-1863,"Mascagni incorporated Wagnerian elements such as leitmotifs and richer orchestration into his verismo operas.",0.70,0.85,0.50,pending
giacomo-puccini-1858,pietro-mascagni-1863,"As a near contemporary and fellow verismo composer, Puccini's style and success influenced Mascagni's operatic approach.",0.60,0.80,0.40,pending
jules-massenet-1842,pietro-mascagni-1863,"Mascagni was influenced by Massenet's lyricism and orchestral color, which shaped his melodic and harmonic language.",0.50,0.75,0.50,pending
richard-wagner-1813,richard-strauss-1864,"Strauss was heavily influenced by Wagner's harmonic language, orchestration, and use of leitmotifs, which shaped his early tone poems and operas.",0.90,1.00,0.30,pending
franz-liszt-1811,richard-strauss-1864,"Liszt's innovations in tone poem form and chromatic harmony directly influenced Strauss's orchestral works and programmatic style.",0.80,0.90,0.40,pending
gustav-mahler-1860,richard-strauss-1864,"Mahler's expansive orchestration and symphonic approach influenced Strauss's later symphonic and operatic compositions.",0.70,0.80,0.50,pending
johannes-brahms-1833,richard-strauss-1864,"Brahms's structural rigor and late Romantic idiom provided a foundation for Strauss's early compositional development.",0.60,0.80,0.60,pending
franz-schubert-1797,richard-strauss-1864,"Schubert's melodic lyricism and harmonic language influenced Strauss's song compositions and orchestral textures.",0.50,0.70,0.60,pending
richard-wagner-1813,carl-nielsen-1865,"Wagner's innovative harmonic language and orchestration had a significant impact on Nielsen's early compositional style and his approach to drama in music.",0.80,0.90,0.50,pending
johannes-brahms-1833,carl-nielsen-1865,"Brahms' structural rigor and use of classical forms influenced Nielsen's symphonic writing and development of thematic material.",0.70,0.85,0.40,pending
edvard-grieg-1843,carl-nielsen-1865,"Grieg's incorporation of nationalistic elements and folk music inspired Nielsen's own use of Danish folk idioms and national identity in his music.",0.60,0.80,0.50,pending
gustav-mahler-1860,carl-nielsen-1865,"Mahler's expansive symphonic structures and emotional depth influenced Nielsen's approach to symphonic form and orchestration.",0.50,0.70,0.60,pending
claude-debussy-1862,carl-nielsen-1865,"Debussy's innovative harmonic language and impressionistic textures had some influence on Nielsen's later harmonic experimentation.",0.40,0.60,0.70,pending
richard-wagner-1813,jean-sibelius-1865,"Sibelius was influenced by Wagner's use of leitmotifs and orchestration, which shaped his symphonic style and nationalistic themes.",0.80,0.90,0.50,pending
anton-bruckner-1824,jean-sibelius-1865,"Bruckner's expansive symphonic structures and spiritual depth influenced Sibelius's approach to symphonic form and atmosphere.",0.70,0.85,0.40,pending
johannes-brahms-1833,jean-sibelius-1865,"Brahms's mastery of classical forms and motivic development informed Sibelius's compositional technique and structural clarity.",0.60,0.80,0.50,pending
edvard-grieg-1843,jean-sibelius-1865,"Grieg's incorporation of national folk elements and lyrical melodies influenced Sibelius's Finnish nationalist style.",0.70,0.85,0.40,pending
pyotr-ilyich-tchaikovsky-1840,jean-sibelius-1865,"Tchaikovsky's emotional expressiveness and orchestral color had an impact on Sibelius's symphonic writing and tone painting.",0.60,0.80,0.50,pending
gustav-mahler-1860,jean-sibelius-1865,"Mahler's symphonic innovations and use of nature themes resonated with Sibelius, influencing his later symphonies.",0.50,0.70,0.60,pending
johann-sebastian-bach-1685,jean-sibelius-1865,"Bach's contrapuntal techniques and structural rigor were foundational to Sibelius's compositional training and style.",0.50,0.75,0.30,pending
camille-saint-saens-1835,paul-dukas-1865,"Saint-Saëns was a major figure in French music and a teacher to Dukas, influencing his compositional style and orchestration.",0.80,0.90,0.30,pending
charles-gounod-1818,paul-dukas-1865,"Gounod's melodic and harmonic language influenced the French Romantic tradition that shaped Dukas's early musical education.",0.60,0.70,0.40,pending
hector-berlioz-1803,paul-dukas-1865,"Berlioz's innovative orchestration and dramatic style had a lasting impact on Dukas's approach to orchestral writing.",0.70,0.80,0.50,pending
richard-wagner-1813,paul-dukas-1865,"Wagner's harmonic innovations and leitmotif technique influenced Dukas, though Dukas maintained a distinct French style.",0.50,0.70,0.60,pending
claude-debussy-1862,paul-dukas-1865,"Debussy and Dukas were contemporaries, with Debussy's impressionistic style influencing Dukas's harmonic language and textures.",0.60,0.80,0.50,pending
mikhail-ivanovich-glinka-1804,alexander-glazunov-1865,"Glinka is considered the father of Russian classical music and heavily influenced Glazunov's nationalistic style and orchestration.",0.90,1.00,0.20,pending
nikolai-rimsky-korsakov-1844,alexander-glazunov-1865,"Rimsky-Korsakov was Glazunov's teacher and mentor, profoundly shaping his compositional technique and orchestration.",1.00,1.00,0.10,pending
pyotr-ilyich-tchaikovsky-1840,alexander-glazunov-1865,"Tchaikovsky's melodic style and emotional expressiveness influenced Glazunov's symphonic and ballet compositions.",0.80,0.90,0.30,pending
franz-liszt-1811,alexander-glazunov-1865,"Liszt's innovations in harmony and orchestration impacted Glazunov's approach to symphonic form and color.",0.60,0.80,0.40,pending
johannes-brahms-1833,alexander-glazunov-1865,"Brahms' structural rigor and romantic idiom influenced Glazunov's symphonic writing and formal development.",0.50,0.70,0.50,pending
claude-debussy-1862,erik-satie-1866,"Debussy and Satie were contemporaries and friends; Debussy's impressionistic style and harmonic innovations influenced Satie's approach to harmony and atmosphere.",0.70,0.90,0.50,pending
gabriel-faure-1845,erik-satie-1866,"Gabriel Fauré's refined harmonic language and melodic style influenced Satie's early compositional style, especially in his piano works.",0.60,0.80,0.60,pending
ernest-chausson-1855,erik-satie-1866,"Chausson's late Romantic harmonic language and expressive style had an impact on Satie's early compositions before he developed his unique minimalist style.",0.40,0.70,0.70,pending
franz-liszt-1811,erik-satie-1866,"Liszt's innovations in piano technique and form indirectly influenced Satie, who was a pianist and aware of Liszt's contributions to piano music.",0.30,0.60,0.80,pending
ludwig-van-beethoven-1770,ferruccio-busoni-1866,"Busoni admired Beethoven's structural mastery and thematic development, which influenced his own compositional approach.",0.80,0.90,0.40,pending
franz-liszt-1811,ferruccio-busoni-1866,"Liszt's virtuosic piano style and innovative harmonic language had a profound impact on Busoni's pianism and compositional style.",0.90,0.95,0.30,pending
johann-sebastian-bach-1685,ferruccio-busoni-1866,"Busoni was deeply influenced by Bach's contrapuntal techniques and often transcribed Bach's works for piano.",0.85,0.95,0.20,pending
richard-wagner-1813,ferruccio-busoni-1866,"Wagner's harmonic innovations and dramatic expression influenced Busoni's harmonic language and operatic ideas.",0.70,0.80,0.50,pending
johannes-brahms-1833,ferruccio-busoni-1866,"Brahms' classical forms and rich harmonic textures influenced Busoni's compositional structure and style.",0.60,0.75,0.50,pending
claude-debussy-1862,ferruccio-busoni-1866,"Debussy's impressionistic harmonies and coloristic effects influenced Busoni's exploration of new harmonic possibilities.",0.50,0.70,0.70,pending
isaac-albeniz-1860,enrique-granados-1867,"Isaac Albéniz was a major influence on Granados, both being Spanish composers who incorporated Spanish folk elements and nationalism into their piano music.",0.90,0.95,0.30,pending
claude-debussy-1862,enrique-granados-1867,"Debussy's impressionistic style influenced Granados's harmonic language and coloristic piano textures.",0.70,0.85,0.60,pending
franz-liszt-1811,enrique-granados-1867,"Liszt's virtuosic piano style and programmatic approach influenced Granados's piano compositions and his use of thematic transformation.",0.60,0.80,0.50,pending
franz-schubert-1797,enrique-granados-1867,"Schubert's lyrical melodies and song-like piano writing had an impact on Granados's melodic style and intimate piano works.",0.50,0.70,0.60,pending
johannes-brahms-1833,enrique-granados-1867,"Brahms's structural rigor and romantic expressiveness influenced Granados's compositional technique and emotional depth.",0.50,0.70,0.50,pending
johann-sebastian-bach-1685,scott-joplin-1868,"Joplin was influenced by Bach's structured approach to composition and counterpoint, which informed his ragtime compositions' formal clarity.",0.60,0.80,0.50,pending
ludwig-van-beethoven-1770,scott-joplin-1868,"Beethoven's emphasis on thematic development and expressive depth influenced Joplin's approach to musical storytelling within ragtime.",0.50,0.70,0.60,pending
johannes-brahms-1833,scott-joplin-1868,"Brahms' use of rhythm and folk elements parallels Joplin's incorporation of syncopation and American folk styles in ragtime.",0.40,0.60,0.60,pending
franz-liszt-1811,scott-joplin-1868,"Liszt's virtuosic piano writing and thematic transformation techniques influenced Joplin's piano rag compositions.",0.40,0.60,0.70,pending
claude-debussy-1862,albert-roussel-1869,"Roussel was influenced by Debussy's impressionistic harmonic language and orchestral color, which shaped his early compositional style.",0.70,0.90,0.60,pending
gabriel-faure-1845,albert-roussel-1869,"Faure's refined melodic style and harmonic subtlety influenced Roussel's approach to melody and form.",0.60,0.80,0.50,pending
vincent-dindy-1851,albert-roussel-1869,"As Roussel's teacher, d'Indy had a direct impact on his compositional technique and use of classical forms.",0.80,1.00,0.40,pending
paul-dukas-1865,albert-roussel-1869,"Dukas' meticulous craftsmanship and orchestration influenced Roussel's attention to detail and orchestral writing.",0.60,0.85,0.50,pending
richard-wagner-1813,albert-roussel-1869,"Wagner's harmonic innovations and dramatic intensity had an indirect influence on Roussel's harmonic language and orchestral textures.",0.50,0.70,0.70,pending
johannes-brahms-1833,wilhelm-stenhammar-1871,"Stenhammar was heavily influenced by Brahms' Romantic style, particularly in his symphonic and chamber works, reflecting Brahms' structural rigor and lyrical depth.",0.90,0.95,0.30,pending
edvard-grieg-1843,wilhelm-stenhammar-1871,"Grieg's nationalistic style and use of Nordic folk elements influenced Stenhammar's incorporation of Swedish folk idioms and melodic style.",0.70,0.90,0.40,pending
richard-wagner-1813,wilhelm-stenhammar-1871,"Wagner's harmonic innovations and orchestral color had an impact on Stenhammar's orchestral writing and harmonic language.",0.60,0.85,0.50,pending
franz-liszt-1811,wilhelm-stenhammar-1871,"Liszt's virtuosic piano style and symphonic poem form influenced Stenhammar's piano compositions and orchestral tone poems.",0.60,0.80,0.50,pending
camille-saint-saens-1835,wilhelm-stenhammar-1871,"Saint-Saëns' clarity of form and orchestration influenced Stenhammar's approach to symphonic and chamber music.",0.50,0.75,0.40,pending
gustav-mahler-1860,alexander-von-zemlinsky-1871,"Zemlinsky was a close associate and admirer of Mahler, whose late-Romantic style and orchestration deeply influenced Zemlinsky's own compositions.",0.90,1.00,0.30,pending
richard-wagner-1813,alexander-von-zemlinsky-1871,"Wagner's harmonic language and dramatic approach to opera had a significant impact on Zemlinsky's operatic and orchestral works.",0.80,0.90,0.40,pending
arnold-schoenberg-1874,alexander-von-zemlinsky-1871,"As Zemlinsky's student and close friend, Schoenberg influenced his move towards atonality and expressionism in later works.",0.70,0.95,0.50,pending
johannes-brahms-1833,alexander-von-zemlinsky-1871,"Brahms' structural rigor and late-Romantic idiom shaped Zemlinsky's early compositional style.",0.60,0.85,0.40,pending
claude-debussy-1862,alexander-von-zemlinsky-1871,"Debussy's impressionistic harmonic palette influenced Zemlinsky's exploration of color and atmosphere in his orchestral works.",0.50,0.70,0.60,pending
franz-liszt-1811,alexander-scriabin-1872,"Liszt's innovative piano techniques and harmonic explorations deeply influenced Scriabin's early piano compositions and his approach to chromaticism.",0.90,0.95,0.40,pending
frederic-chopin-1810,alexander-scriabin-1872,"Chopin's poetic piano style and use of rubato shaped Scriabin's early works and his lyrical piano writing.",0.80,0.90,0.50,pending
richard-wagner-1813,alexander-scriabin-1872,"Wagner's harmonic language and mystical ideas influenced Scriabin's later harmonic experiments and his synesthetic concepts.",0.70,0.85,0.70,pending
alexander-borodin-1833,alexander-scriabin-1872,"Borodin's Russian nationalist style and use of modal melodies impacted Scriabin's early Russian musical identity.",0.60,0.80,0.60,pending
nikolai-rimsky-korsakov-1844,alexander-scriabin-1872,"Rimsky-Korsakov's orchestration and modal harmonies influenced Scriabin's orchestral works and harmonic palette.",0.60,0.80,0.60,pending
claude-debussy-1862,alexander-scriabin-1872,"Debussy's impressionistic harmonic language and coloristic textures paralleled and influenced Scriabin's later harmonic innovations.",0.50,0.70,0.70,pending
gustav-mahler-1860,ralph-vaughan-williams-1872,"Mahler's expansive symphonic style and use of folk elements influenced Vaughan Williams's approach to orchestration and thematic development.",0.70,0.90,0.40,pending
richard-wagner-1813,ralph-vaughan-williams-1872,"Wagner's harmonic innovations and leitmotif technique impacted Vaughan Williams's harmonic language and thematic cohesion.",0.60,0.85,0.60,pending
johannes-brahms-1833,ralph-vaughan-williams-1872,"Brahms's structural clarity and romantic expressiveness influenced Vaughan Williams's compositional form and melodic style.",0.60,0.80,0.50,pending
gabriel-faure-1845,ralph-vaughan-williams-1872,"Faure's lyricism and modal harmonies helped shape Vaughan Williams's harmonic palette and melodic contours.",0.50,0.75,0.50,pending
claude-debussy-1862,ralph-vaughan-williams-1872,"Debussy's impressionistic textures and modal scales influenced Vaughan Williams's use of modality and orchestral color.",0.50,0.70,0.70,pending
edward-elgar-1857,ralph-vaughan-williams-1872,"Elgar's English romanticism and orchestral mastery provided a nationalistic model that Vaughan Williams expanded upon.",0.70,0.85,0.40,pending
gustav-holst-1874,ralph-vaughan-williams-1872,"Holst, a close friend and contemporary, shared folk music interests and compositional techniques with Vaughan Williams, mutually influencing each other.",0.60,0.90,0.30,pending
pyotr-ilyich-tchaikovsky-1840,sergei-rachmaninoff-1873,"Tchaikovsky was a major influence on Rachmaninoff's melodic style and emotional expressiveness, and Rachmaninoff admired his orchestration and lyricism.",0.90,1.00,0.20,pending
franz-liszt-1811,sergei-rachmaninoff-1873,"Liszt's virtuosic piano writing and harmonic innovations influenced Rachmaninoff's piano compositions and his approach to thematic transformation.",0.80,0.90,0.30,pending
alexander-glazunov-1865,sergei-rachmaninoff-1873,"Glazunov's orchestration and late-Romantic style had an impact on Rachmaninoff's symphonic works.",0.60,0.85,0.40,pending
johannes-brahms-1833,sergei-rachmaninoff-1873,"Brahms' structural rigor and rich harmonic language influenced Rachmaninoff's compositional approach, especially in his chamber and symphonic music.",0.50,0.80,0.50,pending
franz-schubert-1797,sergei-rachmaninoff-1873,"Schubert's lyrical melodies and harmonic progressions influenced Rachmaninoff's melodic writing and song compositions.",0.50,0.75,0.50,pending
johann-sebastian-bach-1685,max-reger-1873,"Reger was deeply influenced by Bach's contrapuntal techniques and organ works, often incorporating Baroque forms and styles into his compositions.",0.90,1.00,0.30,pending
ludwig-van-beethoven-1770,max-reger-1873,"Beethoven's structural innovations and dramatic intensity influenced Reger's approach to large-scale forms and harmonic language.",0.70,0.90,0.40,pending
johannes-brahms-1833,max-reger-1873,"Brahms' mastery of classical forms and rich harmonic textures served as a model for Reger's complex and dense musical style.",0.80,1.00,0.40,pending
richard-wagner-1813,max-reger-1873,"Wagner's chromaticism and expansive harmonic language influenced Reger's late-Romantic harmonic explorations.",0.60,0.80,0.50,pending
cesar-franck-1822,max-reger-1873,"Franck's use of cyclic form and rich chromaticism impacted Reger's compositional techniques and organ works.",0.60,0.80,0.50,pending
franz-liszt-1811,max-reger-1873,"Liszt's virtuosic piano writing and harmonic innovations influenced Reger's keyboard compositions and orchestral textures.",0.50,0.70,0.60,pending
johannes-brahms-1833,franz-schmidt-1874,"Schmidt's compositional style was heavily influenced by Brahms' late-Romantic idiom, particularly in his symphonic and chamber works.",0.90,0.95,0.30,pending
anton-bruckner-1824,franz-schmidt-1874,"Bruckner's expansive symphonic structures and harmonic language influenced Schmidt's symphonies and orchestration.",0.80,0.90,0.40,pending
gustav-mahler-1860,franz-schmidt-1874,"Mahler's late-Romantic orchestral style and emotional depth had an impact on Schmidt's symphonic writing.",0.70,0.85,0.50,pending
richard-wagner-1813,franz-schmidt-1874,"Wagner's harmonic innovations and leitmotivic techniques influenced Schmidt's harmonic language and thematic development.",0.60,0.80,0.60,pending
franz-liszt-1811,franz-schmidt-1874,"Liszt's virtuosic piano style and symphonic poems influenced Schmidt's piano compositions and orchestral color.",0.50,0.75,0.50,pending
camille-saint-saens-1835,franz-schmidt-1874,"Saint-Saëns' clarity of form and orchestration influenced Schmidt's approach to symphonic and chamber music.",0.40,0.70,0.50,pending
richard-wagner-1813,arnold-schoenberg-1874,"Schoenberg was deeply influenced by Wagner's harmonic innovations and dramatic expressiveness, which shaped his early compositional style.",0.90,1.00,0.40,pending
gustav-mahler-1860,arnold-schoenberg-1874,"Mahler's expansive orchestration and emotional depth influenced Schoenberg's approach to large-scale works and expressionism.",0.80,0.90,0.50,pending
johannes-brahms-1833,arnold-schoenberg-1874,"Brahms' structural rigor and development techniques informed Schoenberg's early compositional methods before he moved to atonality.",0.70,0.90,0.60,pending
claude-debussy-1862,arnold-schoenberg-1874,"Debussy's use of non-traditional scales and tonal ambiguity influenced Schoenberg's exploration of new harmonic languages.",0.60,0.80,0.70,pending
alexander-von-zemlinsky-1871,arnold-schoenberg-1874,"Zemlinsky was a close friend and mentor to Schoenberg, influencing his early style and supporting his development of the twelve-tone technique.",0.70,0.95,0.40,pending
antonin-dvorak-1841,josef-suk-1874,"Antonín Dvořák was Josef Suk's teacher and father-in-law, profoundly shaping his compositional style with Czech nationalistic elements and Romantic idioms.",0.90,1.00,0.30,pending
johannes-brahms-1833,josef-suk-1874,"Brahms' influence is evident in Suk's structural rigor and harmonic language, reflecting the late Romantic tradition.",0.70,0.90,0.40,pending
richard-wagner-1813,josef-suk-1874,"Wagner's chromaticism and expansive orchestration influenced Suk's harmonic palette and dramatic expression.",0.60,0.80,0.50,pending
gustav-mahler-1860,josef-suk-1874,"Mahler's symphonic style and emotional depth had an impact on Suk's orchestral works, especially in their expressive intensity.",0.50,0.70,0.50,pending
richard-wagner-1813,gustav-holst-1874,"Holst was influenced by Wagner's harmonic language and orchestration techniques, which shaped his early compositional style.",0.70,0.90,0.50,pending
gustav-mahler-1860,gustav-holst-1874,"Mahler's expansive symphonic structures and orchestral color influenced Holst's approach to large-scale works.",0.60,0.80,0.60,pending
claude-debussy-1862,gustav-holst-1874,"Debussy's impressionistic harmonies and modal explorations impacted Holst's harmonic palette and interest in exotic scales.",0.60,0.85,0.70,pending
ralph-vaughan-williams-1872,gustav-holst-1874,"As a close friend and contemporary, Vaughan Williams influenced Holst's use of English folk music and modal harmonies.",0.80,0.95,0.30,pending
edward-elgar-1857,gustav-holst-1874,"Elgar's nationalistic style and orchestration influenced Holst's development of a distinctly English musical voice.",0.50,0.70,0.50,pending
nikolai-rimsky-korsakov-1844,gustav-holst-1874,"Rimsky-Korsakov's mastery of orchestration and use of folk elements influenced Holst's orchestral writing and interest in exoticism.",0.60,0.75,0.60,pending
ludwig-van-beethoven-1770,charles-ives-1874,"Ives studied Beethoven's symphonies and was influenced by his structural innovations and emotional depth.",0.70,0.90,0.40,pending
johann-sebastian-bach-1685,charles-ives-1874,"Ives was deeply influenced by Bach's contrapuntal techniques and use of polyphony.",0.60,0.85,0.50,pending
richard-wagner-1813,charles-ives-1874,"Ives admired Wagner's harmonic language and dramatic expressiveness, which informed some of his own harmonic experimentation.",0.50,0.80,0.60,pending
gustav-mahler-1860,charles-ives-1874,"Mahler's expansive symphonic style and emotional intensity influenced Ives's orchestral writing.",0.60,0.80,0.50,pending
claude-debussy-1862,charles-ives-1874,"Debussy's innovative harmonic palette and use of modality impacted Ives's approach to harmony and texture.",0.50,0.75,0.70,pending
gabriel-faure-1845,maurice-ravel-1875,"Gabriel Fauré was Ravel's teacher and had a profound impact on his harmonic language and compositional style.",0.90,1.00,0.30,pending
claude-debussy-1862,maurice-ravel-1875,"Debussy's impressionistic style influenced Ravel's approach to harmony, texture, and orchestration, though Ravel developed a distinct voice.",0.80,1.00,0.60,pending
franz-schubert-1797,maurice-ravel-1875,"Ravel admired Schubert's melodic gift and formal clarity, which influenced his own melodic and structural approach.",0.50,0.80,0.50,pending
johannes-brahms-1833,maurice-ravel-1875,"Brahms' craftsmanship and use of classical forms influenced Ravel's compositional discipline and structure.",0.50,0.80,0.50,pending
modest-mussorgsky-1839,maurice-ravel-1875,"Mussorgsky's innovative harmonies and nationalistic elements inspired Ravel's interest in color and exoticism.",0.60,0.70,0.60,pending
erik-satie-1866,maurice-ravel-1875,"Satie's minimalist and avant-garde ideas influenced Ravel's exploration of new harmonic and rhythmic ideas.",0.40,0.70,0.70,pending
pyotr-ilyich-tchaikovsky-1840,reinhold-gliere-1875,"Glière was a student of Rimsky-Korsakov and was heavily influenced by the Russian Romantic tradition, particularly Tchaikovsky's melodic and orchestral style.",0.90,0.95,0.30,pending
nikolai-rimsky-korsakov-1844,reinhold-gliere-1875,"Rimsky-Korsakov was Glière's teacher and mentor, profoundly shaping his compositional technique and orchestration.",1.00,1.00,0.20,pending
alexander-glazunov-1865,reinhold-gliere-1875,"Glazunov, a contemporary and fellow Russian nationalist composer, influenced Glière's style through shared aesthetics and orchestral color.",0.70,0.85,0.40,pending
anton-bruckner-1824,reinhold-gliere-1875,"Bruckner's expansive symphonic structures and harmonic language influenced Glière's approach to large-scale orchestral works.",0.60,0.70,0.50,pending
johannes-brahms-1833,reinhold-gliere-1875,"Brahms' classical forms and rich harmonic language were part of the broader European tradition that shaped Glière's compositional foundation.",0.50,0.70,0.50,pending
isaac-albeniz-1860,manuel-de-falla-1876,"Albeniz was a key figure in Spanish nationalist music and greatly influenced Falla's incorporation of Spanish folk elements and idioms.",0.90,0.95,0.30,pending
claude-debussy-1862,manuel-de-falla-1876,"Debussy's impressionistic style influenced Falla's harmonic language and orchestration techniques.",0.70,0.90,0.60,pending
maurice-ravel-1875,manuel-de-falla-1876,"Ravel's refinement and use of modal and folk elements paralleled and influenced Falla's compositional approach.",0.80,0.90,0.50,pending
modest-mussorgsky-1839,manuel-de-falla-1876,"Mussorgsky's use of folk themes and modal harmonies inspired Falla's nationalist style.",0.60,0.80,0.70,pending
manuel-de-falla-1876,manuel-de-falla-1876,"Falla was influenced by the broader Spanish nationalist movement in music, which included composers like Felipe Pedrell (not in list) who shaped his musical identity.",0.85,0.90,0.40,pending
johannes-brahms-1833,ernst-von-dohnanyi-1877,"Dohnányi's compositional style was deeply rooted in the Romantic tradition, with Brahms' structural clarity and harmonic language strongly influencing his works.",0.90,0.95,0.30,pending
franz-liszt-1811,ernst-von-dohnanyi-1877,"Liszt's virtuosic piano writing and harmonic innovations influenced Dohnányi, especially in his piano compositions and orchestral works.",0.70,0.85,0.40,pending
richard-wagner-1813,ernst-von-dohnanyi-1877,"Wagner's chromaticism and expansive orchestration had an impact on Dohnányi's harmonic language and dramatic expression.",0.60,0.80,0.50,pending
camille-saint-saens-1835,ernst-von-dohnanyi-1877,"Saint-Saëns' classical balance and melodic elegance influenced Dohnányi's approach to form and orchestration.",0.50,0.70,0.40,pending
gabriel-faure-1845,ernst-von-dohnanyi-1877,"Faure's refined harmonic palette and lyricism are reflected in Dohnányi's melodic and harmonic style.",0.50,0.70,0.40,pending
nikolai-rimsky-korsakov-1844,ottorino-respighi-1879,"Respighi studied orchestration with Rimsky-Korsakov and was heavily influenced by his colorful orchestral techniques.",0.90,1.00,0.30,pending
claude-debussy-1862,ottorino-respighi-1879,"Respighi was influenced by Debussy's impressionistic style, especially in his use of tone color and atmosphere.",0.70,0.90,0.60,pending
richard-wagner-1813,ottorino-respighi-1879,"Respighi's dramatic orchestration and harmonic language show the influence of Wagner's late Romantic style.",0.60,0.80,0.50,pending
giuseppe-verdi-1813,ottorino-respighi-1879,"Respighi was influenced by Verdi's melodic expressiveness and Italian operatic tradition.",0.50,0.80,0.40,pending
camille-saint-saens-1835,ottorino-respighi-1879,"Saint-Saëns' clarity of form and orchestration influenced Respighi's compositional style.",0.50,0.70,0.50,pending
